FlightDate,Origin,Dest,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,CRSDepTime,DepTime,CRSArrTime,ArrTime,WheelsOff,WheelsOn,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Cancelled,CancellationCode,Diverted,DivReachedDest,DivAirportLandings
2013-07-13,LGA,IAH,UA,N526UA,244,545,541,813,756,601,752,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,ORD,AA,N425AA,301,600,556,725,707,612,651,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,DFW,AA,N3DRAA,707,600,600,830,808,615,802,0,0,0,0,0,False,Z,False,,0
2013-07-13,FLL,LGA,B6,N559JB,272,600,548,845,830,601,826,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,FLL,B6,N579JB,371,600,554,851,853,613,848,0,0,0,0,0,False,Z,False,,0
2013-07-13,MCO,LGA,B6,N705JB,198,600,603,832,830,617,822,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,DTW,DL,N301NB,731,600,556,752,748,627,741,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,ATL,DL,N950DL,461,600,555,825,824,620,817,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,STL,WN,N782SA,2269,600,600,735,727,625,724,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,IAD,EV,N834AS,5747,600,552,715,708,609,659,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,ATL,FL,N329AT,345,600,9999,815,9999,9999,9999,9999,9999,9999,9999,9999,True,C,False,,0
2013-07-13,ATL,LGA,MQ,N523MQ,3352,600,600,810,802,615,757,0,0,0,0,0,False,Z,False,,0
2013-07-13,BNA,LGA,MQ,N6EAMQ,3667,600,557,905,858,605,855,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,ORD,UA,N828UA,635,600,555,725,647,607,644,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,PHL,US,N756US,1535,600,555,656,649,611,644,0,0,0,0,0,False,Z,False,,0
2013-07-13,MIA,LGA,AA,N3FBAA,1114,605,602,900,905,611,859,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,MIA,AA,N3BDAA,1837,605,558,905,901,617,853,0,0,0,0,0,False,Z,False,,0
2013-07-13,ORD,LGA,UA,N801UA,314,605,613,911,922,624,916,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,MSP,DL,N353NB,1919,610,608,806,805,623,757,0,0,0,0,0,False,Z,False,,0
2013-07-13,MSY,LGA,DL,N341NB,558,614,606,1016,1030,616,945,0,0,0,0,0,False,Z,False,,0
2013-07-13,DTW,LGA,MQ,N713MQ,3601,615,610,755,819,628,749,0,0,24,0,0,False,Z,False,,0
2013-07-13,LGA,ORD,AA,N3ENAA,303,630,628,755,737,645,722,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,MCO,B6,N505JB,1099,630,627,904,857,641,851,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,MDW,WN,N8306H,2097,630,629,750,720,638,714,0,0,0,0,0,False,Z,False,,0
2013-07-13,MDW,LGA,WN,N710SW,1028,630,627,935,932,637,925,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,IAH,UA,N23708,1456,630,637,904,854,648,849,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,CLT,US,N161UW,1433,630,629,835,826,647,822,0,0,0,0,0,False,Z,False,,0
2013-07-13,ORD,LGA,AA,N559AA,394,640,833,945,1152,854,1149,113,0,14,0,0,False,Z,False,,0
2013-07-13,ATL,LGA,DL,N977DL,1486,645,642,859,848,658,843,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,DFW,AA,N3HFAA,711,655,653,930,909,705,849,0,0,0,0,0,False,Z,False,,0
2013-07-13,LGA,MIA,AA,N3KRAA,2279,655,700,1005,1004,718,952,0,0,0,0,0,False,Z,False,,0
