index,FlightDate,Origin,Dest,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,CRSDepTime,DepTime,CRSArrTime,ArrTime,WheelsOff,WheelsOn,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Cancelled,Diverted,CancellationCode
375849,2005-06-22,CHS,LGA,OH,N937CA,5376,530,9999,719,9999,9999,9999,9999,9999,9999,9999,9999,True,False,A
375850,2005-06-22,SAV,LGA,OH,N951CA,5599,530,530,751,744,546,734,0,0,0,0,0,False,False,Z
375851,2005-06-22,BGR,LGA,MQ,N738NR,4867,534,529,659,640,535,635,0,0,0,0,0,False,False,Z
375852,2005-06-22,PWM,LGA,OH,N455CA,5542,541,541,700,651,552,644,0,0,0,0,0,False,False,Z
375853,2005-06-22,CMH,LGA,MQ,N621AE,4863,545,542,726,715,554,708,0,0,0,0,0,False,False,Z
375854,2005-06-22,TYS,LGA,OH,N986CA,4943,550,545,754,740,551,730,0,0,0,0,0,False,False,Z
375855,2005-06-22,MHT,LGA,OH,N466CA,5320,550,550,656,646,555,637,0,0,0,0,0,False,False,Z
375856,2005-06-22,LGA,DTW,NW,N536US,1223,600,557,748,740,611,730,0,0,0,0,0,False,False,Z
375857,2005-06-22,LGA,MDW,TZ,N332TZ,4219,600,550,709,653,603,648,0,0,0,0,0,False,False,Z
375858,2005-06-22,LGA,ORD,AA,N4TLAA,301,600,553,714,702,607,659,0,0,0,0,0,False,False,Z
375859,2005-06-22,ORD,LGA,AA,N4YEAA,398,600,556,902,842,608,839,0,0,0,0,0,False,False,Z
375860,2005-06-22,LGA,DFW,AA,N3AEAA,701,600,555,831,810,608,802,0,0,0,0,0,False,False,Z
375861,2005-06-22,LGA,MIA,AA,N5FLAA,1089,600,558,849,843,614,834,0,0,0,0,0,False,False,Z
375862,2005-06-22,STL,LGA,AA,N434AA,2028,600,556,922,911,609,907,0,0,0,0,0,False,False,Z
375863,2005-06-22,LGA,ORD,UA,N803UA,667,600,553,715,713,605,705,0,0,0,0,0,False,False,Z
375864,2005-06-22,ORD,LGA,UA,N811UA,668,600,559,902,855,617,851,0,0,0,0,0,False,False,Z
375865,2005-06-22,LGA,DEN,UA,N431UA,731,600,550,810,756,609,746,0,0,0,0,0,False,False,Z
375866,2005-06-22,LGA,BOS,US,N749UW,2114,600,553,652,637,601,633,0,0,0,0,0,False,False,Z
375867,2005-06-22,BOS,LGA,US,N744UW,2115,600,554,703,700,608,647,0,0,0,0,0,False,False,Z
375868,2005-06-22,DCA,LGA,US,N770UW,2158,600,554,659,651,603,645,0,0,0,0,0,False,False,Z
375869,2005-06-22,LGA,DCA,US,N713UW,2161,600,558,658,658,606,642,0,0,0,0,0,False,False,Z
375870,2005-06-22,LGA,CVG,DL,N3756,595,600,554,804,801,623,756,0,0,0,0,0,False,False,Z
375871,2005-06-22,LGA,ATL,DL,N931DL,750,600,553,816,808,617,802,0,0,0,0,0,False,False,Z
375872,2005-06-22,BOS,LGA,DL,N232DZ,1905,600,558,705,656,619,654,0,0,0,0,0,False,False,Z
375873,2005-06-22,LGA,BOS,DL,N231DN,1906,600,559,656,658,615,650,0,0,0,0,0,False,False,Z
375874,2005-06-22,LGA,ATL,FL,N166AT,1769,600,559,825,806,612,800,0,0,0,0,0,False,False,Z
375875,2005-06-22,RDU,LGA,MQ,N708AE,4751,600,600,729,730,612,725,0,0,0,0,0,False,False,Z
375876,2005-06-22,CLE,LGA,MQ,N707EB,4886,600,548,733,708,559,702,0,0,0,0,0,False,False,Z
375877,2005-06-22,CLT,LGA,MQ,N702AE,4892,600,556,749,737,607,733,0,0,0,0,0,False,False,Z
375878,2005-06-22,LGA,FLL,B6,N516JB,371,605,558,900,844,618,841,0,0,0,0,0,False,False,Z
