date,hsc_ceiling_height
2018-01-01,10000.0
2018-01-02,9389.054317691754
2018-01-03,6519.498194958546
2018-01-04,441.7714783091969
2018-01-05,8935.381432040578
2018-01-06,7923.765521224371
2018-01-07,6951.141385992801
2018-01-08,2148.9712139754447
2018-01-09,6378.2688019460775
2018-01-10,4025.155093262481
2018-01-11,764.0502943180492
2018-01-12,83.6288128453552
2018-01-13,275.22133712518644
2018-01-14,10000.0
2018-01-15,2247.471372199878
2018-01-16,661.3498460964136
2018-01-17,282.23522995656924
2018-01-18,10000.0
2018-01-19,7989.3450921641115
2018-01-20,8649.262202043132
2018-01-21,3027.413447162965
2018-01-22,273.64475900576736
2018-01-23,150.93836328240985
2018-01-24,3283.153929905707
2018-01-25,8328.274740600884
2018-01-26,7946.113314139821
2018-01-27,6019.296287123325
2018-01-28,2133.9248698621905
2018-01-29,2174.9754771250305
2018-01-30,1001.062855631653
2018-01-31,7088.589885744609
2018-02-01,2727.046977555467
2018-02-02,1406.2648593992615
2018-02-03,6477.66137871679
2018-02-04,434.41295050581493
2018-02-05,4186.059371087016
2018-02-06,3050.876778511572
2018-02-07,320.7835047669682
2018-02-08,3609.207917523996
2018-02-09,3600.9622084335365
2018-02-10,474.6854060734935
2018-02-11,147.5928277267057
2018-02-12,2524.3017675342226
2018-02-13,4086.17802276393
2018-02-14,1597.2971110913788
2018-02-15,1053.0635989024543
2018-02-16,1102.2994337412117
2018-02-17,324.13346794939133
2018-02-18,609.9630063397843
2018-02-19,565.1742585296661
2018-02-20,281.61939706171387
2018-02-21,343.81803624625314
2018-02-22,816.1886686120929
2018-02-23,251.15078194927028
2018-02-24,881.4684013275164
2018-02-25,237.8164255657733
2018-02-26,5665.922532298355
2018-02-27,9746.322745683223
2018-02-28,6476.477665066332
2018-03-01,2807.3551435075856
2018-03-02,471.18852481387904
2018-03-03,2378.500114881407
2018-03-04,1701.2525373615151
2018-03-05,2206.256234473831
2018-03-06,3475.801980784055
2018-03-07,247.27849547579504
2018-03-08,2190.5561000729494
2018-03-09,2809.830868648613
2018-03-10,2805.9420074812497
2018-03-11,7879.930465440834
2018-03-12,1760.6607225835985
2018-03-13,610.4869667625959
2018-03-14,2147.819875862711
2018-03-15,3856.2126686276492
2018-03-16,3896.693857808837
2018-03-17,9464.177725457126
2018-03-18,10000.0
2018-03-19,8330.144848319213
2018-03-20,2945.607204951335
2018-03-21,377.9459726430816
2018-03-22,2285.0496144105077
2018-03-23,3651.7582371095314
2018-03-24,5815.502727299525
2018-03-25,1687.4560422568513
2018-03-26,10000.0
2018-03-27,4115.859608726228
2018-03-28,1160.3678808490224
2018-03-29,186.332814240458
2018-03-30,871.2106678350208
2018-03-31,8081.204817360039
2018-04-01,3144.8408656960883
2018-04-02,424.63794276752503
2018-04-03,193.304872262813
2018-04-04,140.64839166491004
2018-04-05,6272.367441451416
2018-04-06,1519.1660416050088
2018-04-07,3233.0105034679323
2018-04-08,5423.101983667019
2018-04-09,3692.416955304176
2018-04-10,1144.9516263634882
2018-04-11,5266.000614397387
2018-04-12,6128.597204339642
2018-04-13,6928.710634962806
2018-04-14,1928.8619129966476
2018-04-15,535.4659883898123
2018-04-16,401.1309936673256
2018-04-17,1639.2605645673025
2018-04-18,2482.1578796418275
2018-04-19,1261.479803904674
2018-04-20,8285.40825574689
2018-04-21,9389.054317691754
2018-04-22,9746.322745683223
2018-04-23,9275.715155203896
2018-04-24,2523.275325252576
2018-04-25,125.02954394726694
2018-04-26,1647.8289932201722
2018-04-27,440.69475312705913
2018-04-28,1076.3641060389991
2018-04-29,1620.9399521783225
2018-04-30,2054.9914851208378
2018-05-01,7075.423664688333
2018-05-02,8458.834412580944
2018-05-03,6307.477225342076
2018-05-04,5348.876542626388
2018-05-05,5329.999947829851
2018-05-06,1509.4227417481602
2018-05-07,5868.0524244724165
2018-05-08,9871.531901111952
2018-05-09,2134.649206453878
2018-05-10,534.6869942495863
2018-05-11,5864.458244613962
2018-05-12,524.9965323844494
2018-05-13,357.53612986453277
2018-05-14,317.86158573821257
2018-05-15,270.56173498580694
2018-05-16,232.5623903896605
2018-05-17,260.25009064191977
2018-05-18,1611.1735467763892
2018-05-19,123.3229801189803
