scheduled_event_datetime,scheduled_event_datetime
2018-10-16,73.0
2018-10-17,73.0
2018-10-18,73.0
2018-10-19,73.0
2018-10-20,53.0
2018-10-21,69.0
2018-10-22,73.0
2018-10-23,73.0
2018-10-24,73.0
2018-10-25,73.0
2018-10-26,73.0
2018-10-27,47.0
2018-10-28,68.0
2018-10-29,68.0
2018-10-30,66.0
2018-10-31,63.0
2018-11-01,67.0
2018-11-02,67.0
2018-11-03,47.0
2018-11-04,68.0
2018-11-05,69.0
2018-11-06,72.0
2018-11-07,71.0
2018-11-08,73.0
2018-11-09,73.0
2018-11-10,51.0
2018-11-11,68.0
2018-11-12,73.0
2018-11-13,74.0
2018-11-14,74.0
2018-11-15,73.0
2018-11-16,73.0
2018-11-17,48.0
2018-11-18,67.0
2018-11-19,66.0
2018-11-20,66.0
2018-11-21,71.0
2018-11-22,55.0
2018-11-23,50.0
2018-11-24,67.0
2018-11-25,69.0
2018-11-26,75.0
2018-11-27,72.0
2018-11-28,72.0
2018-11-29,72.0
2018-11-30,72.0
2018-12-01,55.0
2018-12-02,67.0
2018-12-03,72.0
2018-12-04,72.0
2018-12-05,72.0
2018-12-06,72.0
2018-12-07,72.0
2018-12-08,55.0
2018-12-09,67.0
2018-12-10,72.0
2018-12-11,72.0
2018-12-12,72.0
2018-12-13,72.0
2018-12-14,72.0
2018-12-15,55.0
2018-12-16,67.0
2018-12-17,72.0
2018-12-18,72.0
2018-12-19,72.0
2018-12-20,72.0
2018-12-21,71.0
2018-12-22,57.0
2018-12-23,62.0
2018-12-24,60.0
2018-12-25,45.0
2018-12-26,60.0
2018-12-27,60.0
2018-12-28,60.0
2018-12-29,51.0
2018-12-30,56.0
2018-12-31,59.0
2019-01-01,47.0
2019-01-02,60.0
2019-01-03,62.0
2019-01-04,62.0
2019-01-05,51.0
2019-01-06,67.0
2019-01-07,70.0
2019-01-08,70.0
2019-01-09,70.0
2019-01-10,70.0
2019-01-11,70.0
2019-01-12,56.0
2019-01-13,68.0
2019-01-14,70.0
2019-01-15,70.0
2019-01-16,70.0
2019-01-17,70.0
2019-01-18,70.0
2019-01-19,50.0
2019-01-20,53.0
2019-01-21,67.0
2019-01-22,70.0
2019-01-23,70.0
2019-01-24,70.0
2019-01-25,70.0
2019-01-26,54.0
2019-01-27,68.0
2019-01-28,70.0
2019-01-29,70.0
2019-01-30,70.0
2019-01-31,70.0
2019-02-01,70.0
2019-02-02,51.0
2019-02-03,55.0
2019-02-04,70.0
2019-02-05,70.0
2019-02-06,70.0
2019-02-07,70.0
2019-02-08,70.0
2019-02-09,56.0
2019-02-10,68.0
2019-02-11,70.0
2019-02-12,70.0
2019-02-13,70.0
2019-02-14,70.0
2019-02-15,71.0
2019-02-16,51.0
2019-02-17,58.0
2019-02-18,71.0
2019-02-19,71.0
2019-02-20,71.0
2019-02-21,71.0
2019-02-22,71.0
2019-02-23,57.0
2019-02-24,69.0
2019-02-25,71.0
2019-02-26,71.0
2019-02-27,69.0
2019-02-28,71.0
2019-03-01,71.0
2019-03-02,56.0
2019-03-03,70.0
2019-03-04,73.0
2019-03-05,73.0
2019-03-06,73.0
2019-03-07,73.0
2019-03-08,73.0
2019-03-09,53.0
2019-03-10,70.0
2019-03-11,73.0
2019-03-12,73.0
2019-03-13,73.0
2019-03-14,73.0
2019-03-15,74.0
2019-03-16,53.0
2019-03-17,70.0
2019-03-18,74.0
2019-03-19,74.0
2019-03-20,73.0
2019-03-21,74.0
2019-03-22,74.0
2019-03-23,53.0
2019-03-24,69.0
2019-03-25,74.0
2019-03-26,74.0
2019-03-27,74.0
2019-03-28,74.0
2019-03-29,74.0
2019-03-30,53.0
2019-03-31,67.0
2019-04-01,74.0
2019-04-02,74.0
2019-04-03,74.0
2019-04-04,72.0
2019-04-05,72.0
2019-04-06,54.0
2019-04-07,67.0
2019-04-08,72.0
2019-04-09,73.0
2019-04-10,73.0
2019-04-11,72.0
2019-04-12,71.0
2019-04-13,53.0
2019-04-14,67.0
2019-04-15,72.0
2019-04-16,73.0
2019-04-17,73.0
2019-04-18,72.0
2019-04-19,71.0
2019-04-20,47.0
2019-04-21,67.0
2019-04-22,72.0
2019-04-23,73.0
2019-04-24,73.0
2019-04-25,72.0
2019-04-26,72.0
2019-04-27,53.0
2019-04-28,66.0
2019-04-29,72.0
2019-04-30,72.0
2019-05-01,72.0
2019-05-02,73.0
2019-05-03,70.0
2019-05-04,56.0
2019-05-05,65.0
2019-05-06,72.0
2019-05-07,73.0
2019-05-08,72.0
2019-05-09,73.0
2019-05-10,72.0
2019-05-11,54.0
2019-05-12,64.0
2019-05-13,72.0
2019-05-14,72.0
2019-05-15,72.0
2019-05-16,72.0
2019-05-17,72.0
2019-05-18,56.0
2019-05-19,66.0
2019-05-20,72.0
2019-05-21,72.0
2019-05-22,72.0
2019-05-23,72.0
2019-05-24,71.0
2019-05-25,53.0
2019-05-26,55.0
2019-05-27,69.0
2019-05-28,72.0
2019-05-29,72.0
