date,hsc_ceiling_height
2010-01-01,460.8366239866964
2010-01-02,1974.0619821752064
2010-01-03,1962.3006509259562
2010-01-04,8951.541850220265
2010-01-05,2709.260663019324
2010-01-06,3379.285890825961
2010-01-07,3627.5140507307137
2010-01-08,952.9018690659477
2010-01-09,10000.0
2010-01-10,9746.322745683223
2010-01-11,6069.52514745943
2010-01-12,4105.8383966172
2010-01-13,4715.318939397451
2010-01-14,9871.531901111952
2010-01-15,2523.508031746793
2010-01-16,2378.991672058536
2010-01-17,341.6334079171635
2010-01-18,886.2519274073501
2010-01-19,1367.6116470277611
2010-01-20,6782.174472270562
2010-01-21,8639.455782312923
2010-01-22,6737.4905977879525
2010-01-23,9871.531901111952
2010-01-24,793.4556126309554
2010-01-25,523.1480618593746
2010-01-26,2415.3356990781517
2010-01-27,4973.76200337912
2010-01-28,793.4057231064264
2010-01-29,9135.786784465734
2010-01-30,3609.200960786974
2010-01-31,6367.428716094056
2010-02-01,8571.964252234236
2010-02-02,1863.1272280262356
2010-02-03,435.86795969040304
2010-02-04,9389.054317691754
2010-02-05,4220.099562206289
2010-02-06,1650.721576499655
2010-02-07,10000.0
2010-02-08,10000.0
2010-02-09,3474.922534184077
2010-02-10,182.0096588508574
2010-02-11,6442.337952384273
2010-02-12,10000.0
2010-02-13,4427.435902129367
2010-02-14,2387.1564277500656
2010-02-15,1745.059909859597
2010-02-16,219.22372179715066
2010-02-17,2027.4044270130546
2010-02-18,1871.1232876836377
2010-02-19,1604.9773954069215
2010-02-20,9746.322745683223
2010-02-21,10000.0
2010-02-22,2912.5536614687485
2010-02-23,213.31241057241647
2010-02-24,282.23282207513273
2010-02-25,175.5349668968986
2010-02-26,237.4198212876268
2010-02-27,1120.5803986938492
2010-02-28,1954.7349855461887
2010-03-01,8767.578624392738
2010-03-02,2535.6466657665806
2010-03-03,637.050483414332
2010-03-04,1977.2035619465553
2010-03-05,2193.450829706771
2010-03-06,10000.0
2010-03-07,10000.0
2010-03-08,10000.0
2010-03-09,9746.322745683223
2010-03-10,5356.4818046537675
2010-03-11,620.631431053739
2010-03-12,394.48410741429757
2010-03-13,306.07574072424126
2010-03-14,179.57264635520045
2010-03-15,617.4203813571279
2010-03-16,4408.193561517333
2010-03-17,10000.0
2010-03-18,9746.322745683223
2010-03-19,10000.0
2010-03-20,8649.262202043132
2010-03-21,6979.325402687672
2010-03-22,129.15819743240397
2010-03-23,249.86260724825271
2010-03-24,9024.8716936439
2010-03-25,5651.262866610204
2010-03-26,1653.7109936718182
2010-03-27,8848.461389587768
2010-03-28,797.5878425418758
2010-03-29,153.6294032047586
2010-03-30,349.47225662877435
2010-03-31,1027.502261987347
2010-04-01,2484.81954903423
2010-04-02,9389.054317691754
2010-04-03,452.730501958725
2010-04-04,293.3364968029759
2010-04-05,7967.47022945106
2010-04-06,6322.113253953189
2010-04-07,7853.64596753414
2010-04-08,7934.744880249913
2010-04-09,1374.3126918036785
2010-04-10,3645.1072642482454
2010-04-11,4871.688021267738
2010-04-12,8552.98849499579
2010-04-13,4276.440523351267
2010-04-14,10000.0
2010-04-15,5893.87539600442
2010-04-16,680.9396457200497
2010-04-17,356.95836284045527
2010-04-18,2492.88920973316
2010-04-19,5732.044920344738
2010-04-20,7393.73263298449
2010-04-21,4619.122709339628
2010-04-22,3321.4778729342775
2010-04-23,10000.0
2010-04-24,5798.9081222478635
2010-04-25,212.82607620957864
2010-04-26,178.50674402937176
2010-04-27,964.9567065889844
2010-04-28,3738.9933964547663
2010-04-29,9624.250078939058
2010-04-30,6673.039885348846
2010-05-01,8454.14201183432
2010-05-02,4143.774807219551
2010-05-03,1371.403713046255
2010-05-04,5312.9037759449575
2010-05-05,10000.0
2010-05-06,8050.856347729283
2010-05-07,9057.05229793978
2010-05-08,3065.8481125178077
2010-05-09,2435.3624011678994
2010-05-10,10000.0
2010-05-11,4051.490548414508
2010-05-12,311.40714895505425
2010-05-13,5719.545891435598
2010-05-14,1191.4936472043103
2010-05-15,8951.541850220265
2010-05-16,8848.461389587768
2010-05-17,5671.341123048887
2010-05-18,474.838329622063
2010-05-19,744.1612409173982
2010-05-20,7350.0337871178035
2010-05-21,8458.834412580944
