date,hourly_visibility
2018-10-18,10.0
2018-10-19,10.0
2018-10-20,10.0
2018-10-21,10.0
2018-10-22,10.0
2018-10-23,10.0
2018-10-24,10.0
2018-10-25,10.0
2018-10-26,10.0
2018-10-27,2.414
2018-10-28,1.609
2018-10-29,10.0
2018-10-30,10.0
2018-10-31,10.0
2018-11-01,10.0
2018-11-02,1.609
2018-11-03,10.0
2018-11-04,10.0
2018-11-05,2.816
2018-11-06,1.609
2018-11-07,10.0
2018-11-08,10.0
2018-11-09,4.023
2018-11-10,9.656
2018-11-11,10.0
2018-11-12,10.0
2018-11-13,0.805
2018-11-14,10.0
2018-11-15,0.402
2018-11-16,3.219
2018-11-17,10.0
2018-11-18,10.0
2018-11-19,9.656
2018-11-20,6.437
2018-11-21,10.0
2018-11-22,10.0
2018-11-23,10.0
2018-11-24,3.219
2018-11-25,6.437
2018-11-26,4.828
2018-11-27,10.0
2018-11-28,10.0
2018-11-29,10.0
2018-11-30,10.0
2018-12-01,10.0
2018-12-02,0.805
2018-12-03,4.828
2018-12-04,10.0
2018-12-05,10.0
2018-12-06,10.0
2018-12-07,10.0
2018-12-08,10.0
2018-12-09,10.0
2018-12-10,10.0
2018-12-11,10.0
2018-12-12,10.0
2018-12-13,6.437
2018-12-14,10.0
2018-12-15,0.805
2018-12-16,3.219
2018-12-17,10.0
2018-12-18,10.0
2018-12-19,10.0
2018-12-20,2.414
2018-12-21,0.805
2018-12-22,3.219
2018-12-23,10.0
2018-12-24,8.047
2018-12-25,10.0
2018-12-26,10.0
2018-12-27,10.0
2018-12-28,0.805
2018-12-29,10.0
2018-12-30,6.437
2018-12-31,3.219
2019-01-01,4.828
2019-01-02,10.0
2019-01-03,10.0
2019-01-04,10.0
2019-01-05,0.402
2019-01-06,10.0
2019-01-07,10.0
2019-01-08,0.402
2019-01-09,10.0
2019-01-10,10.0
2019-01-11,10.0
2019-01-12,10.0
2019-01-13,10.0
2019-01-14,10.0
2019-01-15,10.0
2019-01-16,10.0
2019-01-17,10.0
2019-01-18,2.414
2019-01-19,3.219
2019-01-20,1.207
2019-01-21,10.0
2019-01-22,10.0
2019-01-23,10.0
2019-01-24,2.414
2019-01-25,10.0
2019-01-26,10.0
2019-01-27,10.0
2019-01-28,10.0
2019-01-29,6.437
2019-01-30,0.402
2019-01-31,10.0
2019-02-01,10.0
2019-02-02,10.0
2019-02-03,10.0
2019-02-04,10.0
2019-02-05,9.656
2019-02-06,1.609
2019-02-07,0.805
2019-02-08,4.828
2019-02-09,10.0
2019-02-10,10.0
2019-02-11,10.0
2019-02-12,1.609
2019-02-13,8.047
2019-02-14,10.0
2019-02-15,10.0
2019-02-16,10.0
2019-02-17,9.656
2019-02-18,3.219
2019-02-19,10.0
2019-02-20,0.402
2019-02-21,4.828
2019-02-22,10.0
2019-02-23,10.0
2019-02-24,0.402
2019-02-25,10.0
2019-02-26,10.0
2019-02-27,10.0
2019-02-28,1.609
2019-03-01,1.609
2019-03-02,1.207
2019-03-03,0.805
2019-03-04,0.805
2019-03-05,10.0
2019-03-06,10.0
2019-03-07,10.0
2019-03-08,10.0
2019-03-09,10.0
2019-03-10,0.402
2019-03-11,10.0
2019-03-12,10.0
2019-03-13,10.0
2019-03-14,10.0
2019-03-15,8.047
2019-03-16,10.0
2019-03-17,10.0
2019-03-18,10.0
2019-03-19,10.0
2019-03-20,10.0
2019-03-21,4.828
2019-03-22,2.414
2019-03-23,10.0
2019-03-24,10.0
2019-03-25,10.0
2019-03-26,10.0
2019-03-27,10.0
2019-03-28,10.0
2019-03-29,10.0
2019-03-30,10.0
2019-03-31,8.047
2019-04-01,10.0
2019-04-02,10.0
2019-04-03,10.0
2019-04-04,10.0
2019-04-05,6.437
2019-04-06,2.414
2019-04-07,10.0
2019-04-08,2.414
2019-04-09,0.402
2019-04-10,10.0
2019-04-11,10.0
2019-04-12,3.219
2019-04-13,4.023
2019-04-14,0.001
2019-04-15,1.609
2019-04-16,10.0
2019-04-17,10.0
2019-04-18,10.0
2019-04-19,10.0
2019-04-20,3.219
2019-04-21,10.0
2019-04-22,4.828
2019-04-23,10.0
2019-04-24,10.0
2019-04-25,10.0
2019-04-26,1.609
2019-04-27,10.0
2019-04-28,10.0
2019-04-29,10.0
2019-04-30,2.012
2019-05-01,0.402
2019-05-02,0.001
2019-05-03,1.609
2019-05-04,0.805
2019-05-05,0.402
2019-05-06,10.0
2019-05-07,8.047
2019-05-08,10.0
2019-05-09,10.0
2019-05-10,4.828
2019-05-11,10.0
2019-05-12,2.414
2019-05-13,4.023
2019-05-14,4.023
2019-05-15,10.0
2019-05-16,10.0
2019-05-17,9.656
2019-05-18,10.0
2019-05-19,10.0
2019-05-20,10.0
2019-05-21,10.0
2019-05-22,10.0
2019-05-23,6.437
2019-05-24,10.0
2019-05-25,10.0
2019-05-26,4.828
2019-05-27,10.0
2019-05-28,8.047
2019-05-29,0.805
2019-05-30,2.012
2019-05-31,6.437
2019-06-01,10.0
2019-06-02,4.828
2019-06-03,10.0
2019-06-04,10.0
2019-06-05,10.0
2019-06-06,9.656
2019-06-07,10.0
2019-06-08,9.656
2019-06-09,10.0
2019-06-10,0.402
2019-06-11,4.023
2019-06-12,10.0
2019-06-13,3.219
2019-06-14,10.0
2019-06-15,10.0
2019-06-16,10.0
2019-06-17,10.0
2019-06-18,1.207
2019-06-19,0.402
2019-06-20,0.402
2019-06-21,3.219
2019-06-22,10.0
2019-06-23,10.0
2019-06-24,10.0
2019-06-25,2.414
2019-06-26,0.001
