,id,iata,icao,description
3469,13772,NUW,KNUW,"Whidbey Island, WA: Whidbey Island NAS"
3471,13774,NVA,SKNV,"Neiva, Colombia: Benito Salas"
3472,13775,NVD,KNVD,"Nevada, MO: Nevada Municipal"
3474,13777,NVT,SBNF,"Navegantes, Brazil: Ministro Victor Konder International"
3475,13778,NWI,EGSH,"Norwich, United Kingdom: Norwich Airport"
3481,13785,YUM,KNYL,"Yuma, AZ: Yuma MCAS/Yuma International"
3483,16218,YUM,KNYL,"Yuma, AZ: Yuma MCAS/Yuma International"
3484,13786,NYO,ESKN,"Nykoping, Sweden: Skavsta"
3485,13787,NYU,VYBG,"Nyaung-U, Burma: Bagan"
3486,13788,VQQ,KVQQ,"Jacksonville, FL: Cecil"
3489,13791,NZY,KNZY,"San Diego, CA: North Island NAS"
3491,13793,OAG,YORG,"Orange, Australia: Orange Airport"
3492,13794,OAI,OAIX,"Bagram, Afghanistan: Bagram Airport"
3493,13795,OAJ,KOAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis"
3494,13797,OAM,NZOU,"Oamaru, New Zealand: Oamaru Airport"
3495,13798,OAN,MHEA,"Olanchito, Honduras: El Arrayan"
3496,13801,OBC,HDOB,"Obock, Djibouti: Obock Airport"
3497,13802,OBF,EDMO,"Oberpfaffenhofen, Germany: Oberpfaffenhofen Airport"
3498,13803,OBO,RJCB,"Obihiro, Japan: Obihiro Airport"
3499,13804,OBS,LFHO,"Aubenas, France: Aubenas Airport"
3501,13806,OBU,PAOB,"Kobuk, AK: Kobuk Airport"
3502,13808,OCE,KOXB,"Ocean City, MD: Ocean City Municipal"
3503,13809,OCF,KOCF,"Ocala, FL: Ocala International-Jim Taylor Field"
3504,13810,OCH,KOCH,"Nacogdoches, TX: Nacogdoches A L Mangham Jr Regional"
3506,13812,OCJ,MKBS,"Ocho Rios, Jamaica: Boscobel"
3507,13813,OCN,KOKB,"Oceanside, CA: Bob Maxwell Memorial Airfield"
3508,13814,OCW,KOCW,"Washington, NC: Washington Warren"
3509,13815,ODA,FEFW,"Ouadda, Central African Republic: Ouadda Airport"
3510,13816,ODB,LEBA,"Cordoba, Spain: Cordoba Airport"
3511,13817,ODD,YOOD,"Oodnadatta, Australia: Oodnadatta Airport"
3512,13819,ODM,K2G4,"Oakland, MD: Oakland Airport"
3513,13820,ODS,UKOO,"Odessa, Ukraine: Odessa International"
3514,13821,ODW,KOKH,"Oak Harbor, WA: A.J. Eisenberg"
3515,13822,OEC,WPOC,"Oecusse, Timor-Leste: Oecusse Airport"
3516,13823,OER,ESNO,"Oernskoeldsvik, Sweden: Ornskoldsvik"
3517,13824,OFF,KOFF,"Omaha, NE: Offutt AFB"
3518,13825,OFK,KOFK,"Norfolk, NE: Norfolk Regional/Karl Stefan Memorial Field"
3520,13827,OGA,KOGA,"Ogallala, NE: Searle Field"
3521,13828,OGB,KOGB,"Orangeburg, SC: Orangeburg Municipal"
3522,13829,OGD,KOGD,"Ogden, UT: Ogden-Hinckley"
3523,13830,OGG,PHOG,"Kahului, HI: Kahului Airport"
3524,13831,OGN,ROYN,"Yonaguni, Japan: Yonaguni Airport"
3525,13832,OGS,KOGS,"Ogdensburg, NY: Ogdensburg International"
3533,13840,OHA,NZOH,"Ohakea, New Zealand: Ohakea Airport"
3535,13842,OHD,LWOH,"Ohrid, Macedonia: Ohrid Airport"
3537,13844,OHR,EDXY,"Wyk Auf Fohr, Germany: Wyk Auf Foehr"
3538,13845,OIC,KOIC,"Norwich, NY: Eaton"
3539,13846,OIM,RJTO,"Oshima Islands, Japan: Oshima"
3540,13847,OIT,RJFO,"Oita, Japan: Oita Airport"
3541,13848,OJC,KOJC,"Olathe, KS: Johnson County Executive"
3542,13850,OKA,ROAH,"Okinawa, Japan: Naha"
3543,13851,OKC,KOKC,"Oklahoma City, OK: Will Rogers World"
3544,13852,OKD,RJCO,"Sapporo, Japan: Okadama"
3545,13853,OKJ,RJOB,"Okayama, Japan: Okayama Airport"
3546,13854,OKK,KOKK,"Kokomo/Logansport/Peru, IN: Kokomo Municipal"
3547,13855,OKN,FOGQ,"Okondja, Gabon: Okondja Airport"
3548,13856,OKO,RJTY,"Tokyo, Japan: Yokota AB"
3549,13857,OKR,YYKI,"Yorke Island, Australia: Yorke Island Airport"
3550,13858,OKY,YBOK,"Oakey, Australia: Oakey Airport"
3551,13859,OLA,ENOL,"Orland, Norway: Orland Airport"
3552,13860,OLB,LIEO,"Olbia, Italy: Olbia Costa Smeralda"
3553,13861,OLE,KOLE,"Olean, NY: Cattaraugus County-Olean"
3554,13862,OLF,KOLF,"Wolf Point, MT: L. M. Clayton"
3555,13863,OLH,K6R7,"Old Harbor, AK: Old Harbor Airport"
3556,13864,OLI,BIRF,"Olafsvik, Iceland: Rif"
3557,13865,OLM,KOLM,"Olympia, WA: Olympia Regional"
3558,13866,OLO,LKOL,"Olomouc, Czech Republic: Olomouc Airport"
3559,13867,OLP,YOLD,"Olympic Dam, Australia: Olympic Dam Airport"
3560,13868,OLS,KOLS,"Nogales, AZ: Nogales International"
3561,13869,OLU,KOLU,"Columbus, NE: Columbus Municipal"
3562,13871,OMA,KOMA,"Omaha, NE: Eppley Airfield"
3563,13872,OMB,FOOH,"Omboue, Gabon: Omboue Airport"
3564,13873,OME,PAOM,"Nome, AK: Nome Airport"
3565,13874,OMH,OITR,"Urmieh, Iran: Uromiyeh"
3566,13876,OMK,KOMK,"Omak, WA: Omak Airport"
3568,13878,OMO,LQMO,"Mostar, Bosnia and Herzegovina: Mostar Airport"
3569,13879,OMR,LROD,"Oradea, Romania: Oradea Airport"
3570,13880,OMS,UNOO,"Omsk, Russia: Omsk Tsentralny"
3571,13881,ONA,KONA,"Winona, MN: Winona Municipal/Max Conrad Field"
3572,13882,OND,FYOA,"Ondangwa, Namibia: Ondangwa Airport"
3573,13883,ONG,YMTI,"Mornington Island, Australia: Mornington Island Airport"
3574,13885,ONJ,RJSR,"Odate Noshiro, Japan: Odate Noshiro Airport"
3575,13886,ONL,KONL,"O'Neill, NE: The O'Neill Municipal-John L. Baker Field"
3576,13887,ONM,KONM,"Socorro, NM: Socorro Municipal"
3578,13889,ONO,KONO,"Ontario, OR: Ontario Municipal"
3579,13890,ONP,KONP,"Newport, OR: Newport Municipal"
3580,13891,ONT,KONT,"Ontario, CA: Ontario International"
3581,13892,ONX,MPEJ,"Colon, Panama: Enrique A Jimenez"
3583,13894,OOK,PAOO,"Toksook, AK: Toksook Bay"
3584,13895,OOL,YBCG,"Gold Coast, Australia: Gold Coast Airport"
3585,13896,OOM,YCOM,"Cooma, Australia: Cooma Airport"
3586,13898,OPF,KOPF,"Miami, FL: Miami Opa Locka Executive"
3588,13900,OPO,LPPR,"Porto, Portugal: Porto Airport"
3613,13928,ORB,ESOE,"Orebro, Sweden: Orebro Airport"
3614,13929,ORC,SKOE,"Orocue, Colombia: Orocue Airport"
3615,13930,ORD,KORD,"Chicago, IL: Chicago O'Hare International"
3616,13931,ORF,KORF,"Norfolk, VA: Norfolk International"
3617,13932,ORG,SMZO,"Paramaribo, Suriname: Zorg en Hoop"
3618,13933,ORH,KORH,"Worcester, MA: Worcester Regional"
3619,13934,ORI,KORI,"Port Lions, AK: Port Lions Airport"
3620,13935,ORK,EICK,"Cork, Ireland: Cork Airport"
3621,13937,ORN,DAOO,"Oran, Algeria: Ahmed Benbella"
3622,13939,ORP,FBOR,"Orapa, Botswana: Orapa Airport"
3623,13940,ORT,PAOR,"Northway, AK: Northway Airport"
3624,13941,ORU,SLOR,"Oruro, Bolivia: Juan Mendoza"
3625,13942,ORV,PFNO,"Noorvik, AK: Robert/Bob/Curtis Memorial"
3628,13946,OSB,ORBM,"Osage Beach, MO: Grand Glaize - Osage Beach"
3629,13947,OSC,KOSC,"Oscoda, MI: Oscoda-Wurtsmith"
3630,13948,OSD,ESNZ,"Ostersund, Sweden: Are Ostersund"
3631,13949,OSH,KOSH,"Oshkosh, WI: Wittman Regional"
3632,13950,OSI,LDOS,"Osijek, Croatia: Osijek Airport"
3633,13951,OSK,ESMO,"Oskarshamn, Sweden: Oskarshamn Airport"
3635,13954,OSN,RKSO,"Osan, South Korea: Osan AB"
3637,13956,OSR,LKMT,"Ostrava, Czech Republic: Mosnov"
3638,13957,OST,EBOS,"Ostend, Belgium: Oostende"
3639,13958,OSU,KOSU,"Columbus, OH: Ohio State University"
3640,13959,OSX,KOSX,"Kosciusko, MS: Kosciusko/Attala County"
3641,13960,OSY,ENNM,"Namsos, Norway: Namsos Airport"
3642,13961,OSZ,EPKZ,"Koszalin, Poland: Zegrze Pomorskie"
3644,13963,OTG,KOTG,"Worthington, MN: Worthington Municipal"
3645,13964,OTH,KOTH,"North Bend/Coos Bay, OR: Southwest Oregon Regional"
3646,13965,OTM,KOTM,"Ottumwa, IA: Ottumwa Regional"
3647,13966,OTP,LROP,"Bucharest, Romania: Henri Coanda"
3648,13967,OTR,MRCC,"Coto 47, Costa Rica: Coto 47 Airport"
3649,13968,OTS,K74S,"Anacortes, WA: Anacortes Airport"
3650,13969,OTU,SKOT,"Otu, Colombia: Otu Airport"
3651,13970,OTZ,PAOT,"Kotzebue, AK: Ralph Wien Memorial"
3652,13971,OUA,DFFD,"Ouagadougou, Burkina Faso: Ouagadougou Airport"
3653,13972,OUD,GMFO,"Oujda, Morocco: Angads International"
3654,13973,OUE,FCOU,"Ouesso, Congo (Brazaville): Ouesso Airport"
3655,13974,OUH,FAOH,"Oudtshoorn, South Africa: Oudtshoorn Airport"
3656,13975,OUL,EFOU,"Oulu, Finland: Oulu Airport"
3657,13976,OUN,KOUN,"Norman, OK: University of Oklahoma/Max Westheimer"
3658,13977,OUR,FKKI,"Batouri, Cameroon: Batouri Airport"
3659,13978,OVA,FMSL,"Bekily, Madagascar: Bekily Airport"
3660,13979,OVB,UNNT,"Novosibirsk, Russia: Tolmachevo"
3661,13980,OVD,LEAS,"Asturias, Spain: Asturias Airport"
3662,13981,OVE,KOVE,"Oroville, CA: Oroville Municipal"
3663,13982,OWA,KOWA,"Owatonna, MN: Owatonna Degner Regional"
3664,13983,OWB,KOWB,"Owensboro, KY: Owensboro Daviess County Regional"
3665,13984,OWD,KOWD,"Norwood, MA: Norwood Memorial"
3666,13986,OXB,GGOV,"Bissau, Guinea-Bissau: Osvaldo Vieira"
3667,13987,OXC,KOXC,"Waterbury, CT: Waterbury Oxford"
3668,13988,OXR,KOXR,"Oxnard/Ventura, CA: Oxnard"
3670,13990,OYA,SATG,"Goya, Argentina: Goya Airport"
3671,13991,OYE,FOGO,"Oyem, Gabon: Oyem Airport"
3672,13992,OYK,SBOI,"Oiapoque, Brazil: Oiapoque Airport"
3673,13993,OYO,SAZH,"Tres Arroyos, Argentina: Tres Arroyos Airport"
3675,13995,OZA,KOZA,"Ozona, TX: Ozona Municipal"
3676,13996,OZC,RPMO,"Ozamis City, Philippines: Misamis"
3677,13997,OZH,UKDE,"Zaporozhye, Ukraine: Zaporizhzhia International"
3678,13998,OZP,LEMO,"Moron, Spain: Moron AB"
3679,13999,OZR,KOZR,"Ozark, AL: Cairns AAF"
