,id,iata,icao,description
25,10023,TLK,UECT,"Tikchik Lodge, AK: Tikchik Lodge Airport"
117,10118,AAA,NTGA,"Anaa, French Polynesia: Anaa Airport"
118,10119,AAB,YARY,"Arrabury, Australia: Arrabury Station"
119,10120,AAC,HEAR,"El Arish, Egypt: El Arish International"
120,10121,AAE,DABB,"Annaba, Algeria: Rabah Bitat"
121,10122,AAF,KAAF,"Apalachicola, FL: Apalachicola Regional Cleve Randolph Field"
122,10123,AAH,EDKA,"Aachen, Germany: Aachen Merzbrueck"
123,10124,AAI,SWRA,"Arraias, Brazil: Arraias Airport"
124,10125,AAL,EKYT,"Aalborg, Denmark: Aalborg Airport"
125,10126,AAM,FAMD,"Mala Mala, South Africa: Malamala"
126,10127,AAN,OMAL,"Al Ain, United Arab Emirates: Al Ain International"
127,10128,AAO,SVAN,"Anaco, Venezuela: Anaco Airport"
128,10129,AAQ,URKA,"Anapa, Russia: Vityazevo"
129,10130,AAR,EKAH,"Aarhus, Denmark: Aarhus Airport"
130,10131,AAU,NSAU,"Asau, Samoa: Asau W Sam"
131,10134,ABD,OIAA,"Abadan, Iran: Abadan Airport"
132,10135,ABE,KABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
133,10136,ABI,KABI,"Abilene, TX: Abilene Regional"
134,10137,ABJ,DIAP,"Abidjan, Cote d'Ivoire: Felix Houphouet Boigny Abidjan International"
135,10138,ABK,HAKD,"Kabri Dar, Ethiopia: Kebri Dahar"
136,10139,ABL,PAFM,"Ambler, AK: Ambler River"
137,10140,ABQ,KABQ,"Albuquerque, NM: Albuquerque International Sunport"
138,10141,ABR,KABR,"Aberdeen, SD: Aberdeen Regional"
139,10142,ABS,HEBL,"Abu Simbel, Egypt: Abu Simbel Airport"
140,10143,ABT,OEBA,"Al-Baha, Saudi Arabia: King Saud Bin Abdulaziz"
141,10144,ABV,DNAA,"Abuja, Nigeria: Nnamdi Azikiwe International"
142,10145,ABX,YMAY,"Albury, Australia: Albury Airport"
143,10146,ABY,KABY,"Albany, GA: Southwest Georgia Regional"
144,10147,ABZ,EGPD,"Aberdeen, United Kingdom: Aberdeen Dyce"
145,10149,ACB,KACB,"Bellaire, MI: Antrim County"
146,10151,ACE,GCRR,"Arrecife, Spain: Lanzarote"
147,10152,ACH,LSZR,"Altenrhein, Switzerland: St Gallen Altenrhein"
148,10153,ACI,EGJA,"Alderney, United Kingdom: Alderney Airport"
149,10154,ACK,KACK,"Nantucket, MA: Nantucket Memorial"
150,10155,ACT,KACT,"Waco, TX: Waco Regional"
152,10157,ACV,KACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County"
153,10158,ACY,KACY,"Atlantic City, NJ: Atlantic City International"
154,10159,ADA,LTAF,"Adana, Turkey: Adana International"
155,10160,ADB,LTBJ,"Izmir, Turkey: Adnan Menderes"
156,10161,ADC,AYAN,"Andakombe, Papua New Guinea: Andakombe Airport"
157,10162,ADD,HAAB,"Addis Ababa, Ethiopia: Bole International"
158,10163,ADE,OYAA,"Aden, Yemen: Aden International"
159,10164,ADJ,OJAM,"Amman, Jordan: Marka International"
160,10165,ADK,PADK,"Adak Island, AK: Adak"
161,10166,ADL,YPAD,"Adelaide, Australia: Adelaide International"
162,10167,ADM,KADM,"Ardmore, OK: Ardmore Municipal"
163,10168,ADN,SKAN,"Andes, Colombia: Andes Airport"
164,10169,ADO,YAMK,"Andamooka, Australia: Andamooka Airport"
165,10170,ADQ,PADQ,"Kodiak, AK: Kodiak Airport"
166,10171,ADS,KADS,"Dallas, TX: Addison"
167,10172,ADW,KADW,"Camp Springs, MD: Joint Base Andrews"
169,13748,ADW,KADW,"Camp Springs, MD: Joint Base Andrews"
171,10173,ADX,EGQL,"St Andrews, United Kingdom: RAF Leuchars"
172,10174,ADZ,SKSP,"San Andres Island, Colombia: Gustavo Rojas Pinilla"
173,10175,DHF,OMAM,"Al Dhafra, United Arab Emirates: Al Dhafra Air Base"
175,10177,AEG,WIME,"Padang Sidempuan, Indonesia: Aek Godang"
176,10178,AEH,FTTC,"Abeche, Chad: Abeche Airport"
177,10180,AEO,GQNA,"Aioun El Atrouss, Mauritania: Aioun El Atrouss Airport"
178,10181,AEP,SABE,"Buenos Aires, Argentina: Aeroparque Jorge Newbery"
179,10182,AER,URSS,"Adler/Sochi, Russia: Adler/Sochi Airport"
180,10184,AET,PFAL,"Allakaket, AK: Allakaket Airport"
181,10185,AEX,KAEX,"Alexandria, LA: Alexandria International"
182,10186,AEY,BIAR,"Akureyri, Iceland: Akureyri Airport"
183,10188,AFA,SAMR,"San Rafael, Argentina: San Rafael Airport"
184,10189,AFF,KAFF,"Colorado Springs, CO: USAF Academy Airfield"
186,10191,AFO,KAFO,"Afton, WY: Afton Municipal"
188,10195,AFY,LTAH,"Afyon, Turkey: Afyon Airport"
189,10196,AGA,GMAD,"Agadir, Morocco: Inezgane"
190,10197,AGB,EDMA,"Augsburg, Germany: Augsburg Airport"
191,10198,AGC,KAGC,"Pittsburgh, PA: Allegheny County"
192,10199,AGF,LFBA,"Agen, France: Agen La Garenne"
194,10201,AGH,ESTA,"Angelholm/Helsingborg, Sweden: Angelholm"
196,10203,AGL,AYWG,"Wanigela, Papua New Guinea: Wanigela Airport"
198,10205,AGP,LEMG,"Malaga, Spain: Malaga Airport"
199,10206,AGQ,LGAG,"Agrinion, Greece: Agrinion Airport"
200,10207,AGR,VIAG,"Agra, India: Agra Airport"
201,10208,AGS,KAGS,"Augusta, GA: Augusta Regional at Bush Field"
202,10209,AGT,SGES,"Ciudad del Este, Paraguay: Guarani International"
203,10211,AGV,SVAC,"Acarigua, Venezuela: Oswaldo Guevara Mujica"
204,10212,AGX,VOAT,"Agatti Island, India: Agatti Island Airport"
206,10214,AHB,OEAB,"Abha, Saudi Arabia: Abha Airport"
207,10215,AHD,K1F0,"Ardmore, OK: Ardmore Downtown Executive"
208,10216,AHN,KAHN,"Athens, GA: Athens/Ben Epps"
209,10217,AHO,LIEA,"Alghero/Sassari, Italy: Alghero"
210,10218,AHS,MHAH,"Ahuas, Honduras: Auas"
212,10220,AHU,GMTA,"Al Hoceima, Morocco: Cherif El Idrissi International"
213,10221,AIA,KAIA,"Alliance, NE: Alliance Municipal"
215,10223,AID,KAID,"Anderson, IN: Anderson Municipal-Darlington Field"
216,10225,AIN,PAWI,"Wainwright, AK: Wainwright Airport"
217,10226,AIT,NCAI,"Aitutaki, Cook Islands: Aitutaki Airport"
219,10228,AIZ,KAIZ,"Lake of the Ozarks, MO: Lee C Fine Memorial"
220,10229,AJA,LFKJ,"Ajaccio, France: Ajaccio Napoleon Bonaparte"
221,10230,AJF,OESK,"Jouf, Saudi Arabia: Al Jouf"
222,10231,AJJ,GQNJ,"Akjoujt, Mauritania: Akjoujt Airport"
223,10232,AJL,VELP,"Aizwal, India: Lengpui"
224,10233,AJN,FMCV,"Anjouan, Comoros: Ouani"
225,10234,AJR,ESNX,"Arvidsjaur, Sweden: Arvidsjaur Airport"
226,10236,AJY,DRZA,"Agades, Niger: Mano Dayak"
227,10237,AKB,PAAK,"Atka, AK: Atka Airport"
228,10238,AKC,KAKR,"Akron, OH: Akron Fulton International"
229,10239,AKF,HLKF,"Kufrah, Libya: Kufra"
230,10241,AKI,PFAK,"Akiak, AK: Akiak Airport"
231,10242,AKJ,RJEC,"Asahikawa, Japan: Asahikawa Airport"
232,10243,AKK,PAKH,"Akhiok, AK: Akhiok Airport"
233,10244,AKL,NZAA,"Auckland, New Zealand: Auckland International"
234,10245,AKN,PAKN,"King Salmon, AK: King Salmon Airport"
235,10246,AKO,KAKO,"Akron, CO: Colorado Plains Regional"
236,10247,AKP,PAKP,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport"
237,10248,AKR,DNAK,"Akure, Nigeria: Akure Airport"
238,10249,AKS,AGGA,"Auki, Solomon Islands: Auki Airport"
239,10250,AKT,LCRA,"Akrotiri, Cyprus: Akrotiri Airport"
240,10251,AKX,UATT,"Aktyubinsk, Kazakhstan: Aktyubinsk Airport"
241,10252,AKY,VYSW,"Sittwe, Burma: Sittwe Airport"
244,10256,ALA,UAAA,"Almaty, Kazakhstan: Almaty Airport"
245,10257,ALB,KALB,"Albany, NY: Albany International"
246,10259,ALE,KE38,"Alpine, TX: Alpine Casparis Municipal"
247,10260,ALF,ENAT,"Alta, Norway: Alta Airport"
248,10261,ALG,DAAG,"Algiers, Algeria: Houari Boumediene"
249,10262,ALH,YABA,"Albany, Australia: Albany Airport"
250,10263,ALI,KALI,"Alice, TX: Alice International"
251,10264,ALJ,FAAB,"Alexander Bay, South Africa: Alexander Bay Airport"
253,10266,ALM,KALM,"Alamogordo, NM: Alamogordo White Sands Regional"
254,10267,ALN,KALN,"Alton, IL: St. Louis Regional"
255,10268,ALO,KALO,"Waterloo, IA: Waterloo Regional"
256,10269,ALP,OSAP,"Aleppo, Syria: Aleppo International"
257,10270,ALQ,SSLT,"Alegrete, Brazil: Alegrete Airport"
258,10271,ALR,NZLX,"Alexandra, New Zealand: Alexandra Airport"
259,10272,ALS,KALS,"Alamosa, CO: San Luis Valley Regional/Bergman Field"
260,10273,ALT,SDWQ,"Alenquer, Brazil: Alenquer Airport"
261,10274,ALU,HCMA,"Alula, Somalia: Alula Airport"
262,10275,ALW,KALW,"Walla Walla, WA: Walla Walla Regional"
263,10276,ALX,KALX,"Alexander City, AL: Thomas C. Russell Field"
264,10277,ALY,HEAX,"Alexandria, Egypt: Alexandria International"
266,10279,AMA,KAMA,"Amarillo, TX: Rick Husband Amarillo International"
269,10283,AMH,HAAM,"Arba Minch, Ethiopia: Arba Minch Airport"
270,10284,AMI,WADA,"Mataram, Indonesia: Selaparang"
271,10285,AMK,K00C,"Durango, CO: Animas Air Park"
273,10287,AMM,OJAI,"Amman, Jordan: Queen Alia International"
274,10288,AMN,KAMN,"Alma, MI: Gratiot Community"
275,10289,AMO,FTTU,"Mao, Chad: Mao Airport"
276,10290,AMP,FMSY,"Ampanihy, Madagascar: Ampanihy Airport"
277,10291,AMQ,WAPP,"Ambon, Indonesia: Pattimura"
278,10292,AMS,EHAM,"Amsterdam, Netherlands: Schiphol"
279,10294,AMW,KAMW,"Ames, IA: Ames Municipal"
280,10295,AMX,YAMM,"Ammaroo, Australia: Ammaroo Station"
283,10298,ANB,KANB,"Anniston, AL: Anniston Regional"
284,10299,ANC,PANC,"Anchorage, AK: Ted Stevens Anchorage International"
285,10300,AND,KAND,"Anderson, SC: Anderson Regional"
286,10301,ANE,LFJR,"Angers, France: Angers Marce"
287,10302,ANF,SCFA,"Antofagasta, Chile: Andres Sabella International"
288,10303,ANG,LFBU,"Angouleme, France: Angouleme Brie Champniers"
289,10304,ANI,PANI,"Aniak, AK: Aniak Airport"
290,10305,ANK,LTAD,"Ankara, Turkey: Etimesgut"
291,10306,ANM,FMNH,"Antalaha, Madagascar: Antsirabato"
292,10307,ANN,PANT,"Annette, AK: Annette Island"
293,10308,ANO,FQAG,"Angoche, Mozambique: Angoche Airport"
294,10309,ANP,KANP,"Annapolis, MD: Lee"
295,10310,ANR,EBAW,"Antwerp, Belgium: Deurne"
296,10311,ANS,SPHY,"Andahuaylas, Peru: Andahuaylas Airport"
297,10312,ANU,TAPA,"St. Johns, Antigua and Barbuda: V C Bird International"
298,10313,ANV,PANV,"Anvik, AK: Anvik Airport"
299,10314,ANX,ENAN,"Andeness, Norway: Andoya"
300,10317,AOH,KAOH,"Lima, OH: Lima Allen County"
301,10318,AOI,LIPY,"Ancona, Italy: Ancona Falconara"
302,10319,AOJ,RJSA,"Aomori, Japan: Aomori Airport"
303,10320,AOK,LGKP,"Karpathos, Greece: Karpathos Airport"
304,10321,AOL,SARL,"Paso de Los Libres, Argentina: Paso de Los Libres Airport"
305,10322,AOO,KAOO,"Altoona, PA: Altoona-Blair County"
306,10323,AOR,WMKA,"Alor Setar, Malaysia: Sultan Abdul Halim"
308,10325,APA,KAPA,"Denver, CO: Centennial"
309,10326,APB,SLAP,"Apolo, Bolivia: Apolo Airport"
310,10327,APC,KAPC,"Napa, CA: Napa County"
311,10328,APE,SPAO,"San Juan Aposento, Peru: San Juan Aposento Airport"
312,10329,APF,KAPF,"Naples, FL: Naples Municipal"
313,10330,APG,KAPG,"Aberdeen, MD: Phillips AAF"
314,10331,APK,NTGD,"Apataki, French Polynesia: Apataki Airport"
315,10332,APL,FQNP,"Nampula, Mozambique: Nampula Airport"
316,10333,APN,KAPN,"Alpena, MI: Alpena County Regional"
317,10334,APO,SKLC,"Apartado, Colombia: Apartado Airport"
319,10336,APT,KAPT,"Jasper, TN: Marion County Brown Field"
320,10337,APV,KAPV,"Apple Valley, CA: Apple Valley Airport"
321,10338,APW,NSFA,"Apia, Samoa: Faleolo International"
322,10340,AQJ,OJAQ,"Aqaba, Jordan: King Hussein International"
323,10342,AQP,SPQU,"Arequipa, Peru: Rodriguez Ballon International"
325,10344,AQY,KAQY,"Girdwood, AK: Girdwood Airport"
328,10347,ARA,KARA,"New Iberia, LA: Acadiana Regional"
329,10348,ARB,KARB,"Ann Arbor, MI: Ann Arbor Municipal"
330,10349,ARC,PARC,"Arctic Village, AK: Arctic Village Airport"
331,10350,ARD,WATM,"Alor, Indonesia: Arcadia Municipal"
332,10351,ARE,TJAB,"Arecibo, PR: Antonio/Nery/Juarbe Pol"
333,10352,ARG,KARG,"Walnut Ridge, AR: Walnut Ridge Regional"
334,10353,ARH,ULAA,"Arkhangelsk, Russia: Talagi"
335,10354,ARI,SCAR,"Arica, Chile: Chacalluta"
336,10355,ARK,HTAR,"Arusha, Tanzania: Arusha Airport"
337,10356,ARM,YARM,"Armidale, Australia: Armidale Airport"
338,10357,ARN,ESSA,"Stockholm, Sweden: Arlanda"
341,10360,ARS,SWEC,"Aragarcas, Brazil: Aragarcas Airport"
342,10361,ART,KART,"Watertown, NY: Watertown International"
343,10362,ARU,SBAU,"Aracatuba, Brazil: Aracatuba Airport"
344,10363,ARV,KARV,"Minocqua/Woodruff, WI: Lakeland/Noble F. Lee Memorial Field"
345,10364,ARW,LRAR,"Arad, Romania: Arad International"
347,10366,ARY,YARA,"Ararat, Australia: Ararat Airport"
348,10367,ARZ,FNZE,"N'zeto, Angola: N'zeto Airport"
349,10368,ASA,HHSB,"Assab, Eritrea: Assab International"
350,10369,ASB,UTAA,"Ashgabat, Turkmenistan: Ashgabat Airport"
351,10370,ASC,SLAS,"Ascension, Bolivia: Ascension Airport"
352,10372,ASE,KASE,"Aspen, CO: Aspen Pitkin County Sardy Field"
353,10373,ASG,NZAS,"Ashburton, New Zealand: Ashburton Airport"
354,10374,ASH,KASH,"Nashua, NH: Boire Field"
355,10375,ASI,FHAW,"Ascension Island, Saint Helena, Ascension, and Tristan da Cunha: Ascension Aux Af"
356,10376,ASJ,RJKA,"Amami O Shima, Japan: Amami"
357,10377,ASK,DIYO,"Yamoussoukro, Cote d'Ivoire: Yamoussoukro Airport"
358,10378,ASL,KASL,"Marshall, TX: Harrison County"
359,10379,ASM,HHAS,"Asmara, Eritrea: Asmara International"
360,10380,ASN,KASN,"Talladega, AL: Talladega Municipal"
361,10381,ASO,HASO,"Asosa, Ethiopia: Asosa Hidase"
362,10382,ASP,YBAS,"Alice Springs, Australia: Alice Springs Airport"
363,10383,ASQ,KTMT,"Austin, NV: Austin Airport"
364,10384,ASR,LTAU,"Kayseri, Turkey: Kayseri Airport"
365,10385,AST,KAST,"Astoria/Seaside, OR: Astoria Regional"
366,10386,ASU,SGAS,"Asuncion, Paraguay: Silvio Pettirossi International"
367,10387,ASW,HESN,"Aswan, Egypt: Aswan International"
368,10388,ASX,KASX,"Ashland, WI: John F Kennedy Memorial"
369,10389,ASY,KASY,"Ashley, ND: Ashley Municipal"
370,10390,ATA,SPHZ,"Anta, Peru: Anta Huaraz"
371,10391,ATB,HSAT,"Atbara, Sudan: Atbara Airport"
372,10392,ATC,MYCA,"Arthur's Town, The Bahamas: Arthur's Town Airport"
373,10393,ATE,K80F,"Antlers, OK: Antlers Municipal"
374,10394,ATH,LGAV,"Athens, Greece: Eleftherios Venizelos International"
375,10395,ATI,SUAG,"Artigas, Uruguay: Artigas International"
376,10396,ATK,PATQ,"Atqasuk, AK: Atqasuk Edward Burnell Sr. Memorial"
377,10397,ATL,KATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
378,10398,ATM,SBHT,"Altamira, Brazil: Altamira Airport"
380,10400,ATO,KUNI,"Athens, OH: Ohio University"
381,10401,ATP,AYAI,"Aitape, Papua New Guinea: Aitape Airport"
382,10402,ATQ,VIAR,"Amritsar, India: Amritsar International"
383,10403,ATR,GQPA,"Atar, Mauritania: Atar Airport"
384,10404,ATS,KATS,"Artesia, NM: Artesia Municipal"
385,10405,ATT,K4A2,"Atmautluak, AK: Atmautluak Airport"
386,10406,ATU,PAAT,"Attu, AK: Casco Cove CGS"
387,10407,ATV,FTTI,"Ati, Chad: Ati Airport"
388,10408,ATW,KATW,"Appleton, WI: Appleton International"
389,10409,ATY,KATY,"Watertown, SD: Watertown Regional"
390,10410,ATZ,HEAT,"Assiut, Egypt: Assiut Airport"
391,10411,AUA,TNCA,"Aruba, Aruba: Reina Beatrix International"
392,10412,AUC,SKUC,"Arauca, Colombia: Santiago Perez"
393,10413,AUD,YAGD,"Augustus Downs, Australia: Augustus Downs Airport"
394,10414,AUG,KAUG,"Augusta/Waterville, ME: Augusta State"
395,10415,AUH,OMAA,"Abu Dhabi, United Arab Emirates: Abu Dhabi International"
396,10416,AUK,PAUK,"Alakanuk, AK: Alakanuk Airport"
397,10417,AUM,KAUM,"Austin/Albert Lea, MN: Austin Municipal"
398,10418,AUN,KAUN,"Auburn, CA: Auburn Municipal"
399,10419,AUO,KAUO,"Auburn, AL: Auburn University Regional"
401,10421,AUQ,NTMN,"Atuona, French Polynesia: Hiva Oa/Atuona"
402,10422,AUR,LFLW,"Aurillac, France: Aurillac Airport"
403,10423,AUS,KAUS,"Austin, TX: Austin - Bergstrom International"
404,10423,BSM,OINJ,"Austin, TX: Austin - Bergstrom International"
405,10424,AUW,KAUW,"Wausau, WI: Wausau Downtown"
406,10425,AUX,SWGN,"Araguaina, Brazil: Araguaina Airport"
407,10426,AUY,NVVA,"Aneityum, Vanuatu: Aneityum Airport"
408,10427,AUZ,KARR,"Aurora, IL: Aurora Municipal"
409,10428,AVB,LIPA,"Aviano, Italy: Aviano AB"
410,10430,AVI,MUCA,"Ciego de Avila, Cuba: Maximo Gomez"
411,10431,AVL,KAVL,"Asheville, NC: Asheville Regional"
412,10432,AVN,LFMV,"Avignon, France: Avignon Caumont"
413,10433,AVO,KAVO,"Avon Park, FL: Avon Park Executive"
414,10434,AVP,KAVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
415,10435,AVV,YMAV,"Avalon, Australia: Avalon Airport"
416,10436,AVW,KAVQ,"Tucson, AZ: Marana Regional"
417,10437,AVX,KAVX,"Avalon, CA: Catalina"
419,11001,AVX,KAVX,"Avalon, CA: Catalina"
421,10438,AWA,HALA,"Awasa, Ethiopia: Lake Awasa"
422,10439,AWK,PWAK,"Wake Island, TT: Wake Island Airfield"
423,10440,AWM,KAWM,"West Memphis, AR: West Memphis Municipal"
426,10443,AWZ,OIAW,"Ahwaz, Iran: Ahwaz Airport"
427,10444,AXA,TQPF,"The Valley, Anguilla: Clayton J Lloyd"
428,10445,AXB,89NY,"Alexandria Bay, NY: Maxson Airfield"
429,10446,AXC,YAMC,"Aramac, Australia: Aramac Airport"
430,10447,AXD,LGAL,"Alexandroupolis, Greece: Dimokritos"
431,10448,AXM,SKAR,"Armenia, Colombia: El Eden"
432,10449,AXN,KAXN,"Alexandria, MN: Chandler Field"
433,10450,AXP,MYAP,"Spring Point, The Bahamas: Spring Point Airport"
434,10451,AXS,KAXS,"Altus, OK: Altus/Quartz Mountain Regional"
435,10452,AXT,RJSK,"Akita, Japan: Akita Airport"
436,10453,AXU,HAAX,"Axum, Ethiopia: Axum Atse Yohannes IV"
437,10454,AXV,KAXV,"Wapakoneta, OH: Neil Armstrong"
438,10455,AXX,KAXX,"Eagle Nest, NM: Angel Fire"
439,10456,AYL,YANL,"Anthony Lagoon, Australia: Anthony Lagoon Airport"
440,10457,AYP,SPHO,"Ayacucho, Peru: Coronel FAP Alfredo Mendivil Duarte"
441,10458,AYQ,YAYE,"Ayers Rock, Australia: Ayers Rock Connellan"
442,10459,AYR,YAYR,"Ayr, Australia: Ayr Airport"
443,10460,AYS,KAYS,"Waycross, GA: Waycross-Ware County"
444,10461,AYT,LTAI,"Antalya, Turkey: Antalya Airport"
449,10466,AZA,KIWA,"Phoenix, AZ: Phoenix - Mesa Gateway"
451,10469,AZO,KAZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International"
452,10470,AZS,MDCY,"Samana, Dominican Republic: El Catey International"
456,10474,BAB,KBAB,"Marysville, CA: Beale AFB"
458,10476,BAD,KBAD,"Shreveport, LA: Barksdale AFB"
459,10477,BAE,LFMR,"Barcelonnette, France: Barcelonnette Airport"
460,10478,BAF,KBAF,"Westfield, MA: Westfield Barnes Regional"
461,10479,BAG,RPUB,"Baguio, Philippines: Baguio Airport"
462,10480,BAH,OBBI,"Manama, Bahrain: Bahrain International"
463,10481,BAI,MRBA,"Buenos Aires, Costa Rica: Buenos Aires Airport"
464,10482,GYD,UBBB,"Baku, Azerbaijan: Heydar Aliyev International"
465,10483,BAL,LTCJ,"Batman, Turkey: Batman Airport"
466,10484,BAM,KBAM,"Battle Mountain, NV: Battle Mountain Airport"
467,10485,BAO,VTED,"Ban Mak Khaeng, Thailand: Udorn AB"
468,10486,BAQ,SKBQ,"Barranquilla, Colombia: Ernesto Cortissoz"
469,10487,BAR,ZJQH,"Baker Island, AK: Baker AAF"
470,10489,BAU,SBBU,"Bauru, Brazil: Bauru-Arealva"
471,10490,BAV,ZBOW,"Baotou, China: Baotou Airport"
472,10491,BAX,UNBB,"Barnaul, Russia: Mikhaylovka"
473,10492,BAY,LRBM,"Baia Mare, Romania: Maramures"
474,10493,BBA,SCBA,"Balmaceda, Chile: Balmaceda Airport"
475,10494,BBC,KBYY,"Bay City, TX: Bay City Regional"
477,10498,BBO,HCMI,"Berbera, Somalia: Berbera International"
478,10499,BBQ,TAPH,"Barbuda, Antigua and Barbuda: Cocoa Point"
479,10500,BBR,TFFB,"Basse Terre, Guadeloupe: Baillif"
480,10501,BBS,EGLK,"Blackbushe, United Kingdom: Blackbushe Airport"
481,10502,BBT,FEFT,"Berberati, Central African Republic: Berberati Airport"
482,10503,BBU,LRBS,"Bucharest, Romania: Baneasa Aurel Vlaicu"
483,10504,BBX,KLOM,"Blue Bell, PA: Wings Field"
484,10505,BBY,FEFM,"Bambari, Central African Republic: Bambari Airport"
485,10506,BBZ,FLZB,"Zambezi, Zambia: Zambezi Airport"
486,10507,BCA,MUBA,"Baracoa, Cuba: Gustavo Rizo"
487,10509,BCC,KZ48,"Bear Creek, AK: Bear Creek Airport"
488,10510,BCD,RPVB,"Bacolod, Philippines: Bacolod Airport"
489,16398,BCD,RPVB,"Bacolod, Philippines: Bacolod Airport"
490,10511,BCE,KBCE,"Bryce Canyon, UT: Bryce Canyon Airport"
491,10513,BCI,YBAR,"Barcaldine, Australia: Barcaldine Airport"
493,10515,BCL,MRBC,"Barra del Colorado, Costa Rica: Barra del Colorado Airport"
494,10516,BCM,LRBC,"Bacau, Romania: George Enescu Bacau International"
495,10517,BCN,LEBL,"Barcelona, Spain: Barcelona Airport"
496,10518,BCS,65LA,"Belle Chasse, LA: Southern Seaplane"
497,10519,BCT,KBCT,"Boca Raton, FL: Boca Raton Public"
499,10521,BDA,TXKF,"Hamilton, Bermuda: L. F. Wade International"
500,10522,BDB,YBUD,"Bundaberg, Australia: Bundaberg Airport"
501,10523,BDE,KBDE,"Baudette, MN: Baudette International"
502,10524,BDG,KBDG,"Blanding, UT: Blanding Municipal"
503,10525,BDH,OIBL,"Bandar Lengeh, Iran: Bandar Lengeh Airport"
504,10526,BDI,FSSB,"Bird Island, Seychelles: Bird Island Airport"
505,10527,BDJ,WAOO,"Bandjarmasin, Indonesia: Syamsudin Noor"
506,10528,BDK,DIBU,"Bondoukou, Cote d'Ivoire: Bondoukou/Soko"
507,10529,BDL,KBDL,"Hartford, CT: Bradley International"
508,10530,BDM,LTBG,"Bandirma, Turkey: Bandirma Airport"
509,10531,BDN,OPTH,"Badin, Pakistan: Talhar"
510,10532,BDO,WICC,"Bandung, Indonesia: Husein Sastranegara"
511,10533,BDP,VNCG,"Bhadrapur/Chandragadhi, Nepal: Chandragadhi"
512,10534,BDQ,VABO,"Vadodara, India: Vadodara Airport"
513,10536,BDS,LIBR,"Brindisi, Italy: Brindisi Airport"
514,10537,BDU,ENDU,"Bardufoss, Norway: Bardufoss Airport"
515,10538,BDY,KS05,"Bandon, OR: Bandon State"
516,10539,BEB,EGPL,"Benbecula, United Kingdom: Benbecula Airport"
517,10540,BED,KBED,"Bedford, MA: Laurence G Hanscom Field"
518,10541,BEF,MNBL,"Bluefields, Nicaragua: Bluefields Airport"
519,10542,BEG,LYBE,"Belgrade, Serbia: Beograd"
520,10543,BEH,KBEH,"Benton Harbor/St. Joseph, MI: Southwest Michigan Regional"
521,10544,BEI,HABE,"Beica, Ethiopia: Beica Airport"
522,10547,BEN,HLLB,"Benghazi, Libya: Benina International"
523,10548,BEO,YPEC,"Newcastle, Australia: Lake Macquarie"
524,10549,BER,EDDB,"Berlin, Germany: Berlin Metropolitan Area"
525,10550,BES,LFRB,"Brest, France: Brest Bretagne"
526,10551,BET,PABE,"Bethel, AK: Bethel Airport"
527,10552,BEU,YBIE,"Bedourie, Australia: Bedourie North"
528,10553,BEV,LLBS,"Beersheba, Israel: Teyman"
529,10554,BEW,FQBR,"Beira, Mozambique: Beira Airport"
530,10555,BEY,OLBA,"Beirut, Lebanon: Rafic Hariri International"
532,10557,BFD,KBFD,"Bradford, PA: Bradford Regional"
533,10558,BFF,KBFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field"
534,10559,BFI,KBFI,"Seattle, WA: Boeing Field/King County International"
535,10561,BFL,KBFL,"Bakersfield, CA: Meadows Field"
536,10563,BFN,FABL,"Bloemfontein, South Africa: Bram Fischer International"
537,10564,BFO,FVCZ,"Buffalo Range, Zimbabwe: Buffalo Range Airport"
538,10565,BFP,KBVI,"Beaver Falls, PA: Beaver County"
540,10567,BFR,KBFR,"Bedford, IN: Virgil I Grissom Municipal"
541,10568,BFS,EGAA,"Belfast, United Kingdom: Belfast Aldergrove"
542,10570,BGA,SKBG,"Bucaramanga, Colombia: Palonegro"
543,10571,BGB,FOGB,"Booue, Gabon: Booue Airport"
544,10572,BGD,KBGD,"Borger, TX: Hutchinson County"
545,10573,BGE,KBGE,"Bainbridge, GA: Decatur County Industrial Air Park"
546,10574,BGF,FEFF,"Bangui, Central African Republic: Bangui-M'Poko"
547,10575,BGI,TBPB,"Barbados/Bridgetown, Barbados: Grantley Adams International"
548,10576,BGL,VNBL,"Baglung, Nepal: Baglung Airport"
549,10577,BGM,KBGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field"
550,10578,BGN,UESG,"Bruggen, Germany: Bruggen Airport"
551,10579,BGO,ENBR,"Bergen, Norway: Flesland"
552,10580,BGQ,PAGQ,"Big Lake, AK: Big Lake Airport"
553,10581,BGR,KBGR,"Bangor, ME: Bangor International"
555,10583,BGT,KE51,"Bagdad, AZ: Bagdad Airport"
556,10584,BGU,FEFG,"Bangassou, Central African Republic: Bangassou Airport"
557,10585,BGW,ORBI,"Baghdad, Iraq: Al Muthana"
558,10586,BGX,SBBG,"Bage, Brazil: Comandante Gustavo Kraemer"
559,10587,BGY,LIME,"Bergamo, Italy: Bergamo Orio Al Serio"
