,Code_x,Description,Code_y,City: Airport
3234,13511,"Mota Lava, Vanuatu: Mota Lava Airport",MTV,"Mota Lava, Vanuatu: Mota Lava Airport"
3235,13512,"Manitowoc, WI: Manitowoc County",MTW,"Manitowoc, WI: Manitowoc County"
3236,13513,"Fairbanks, AK: Metro Field",MTX,"Fairbanks, AK: Metro Field"
3237,13515,"Masada, Israel: Israel Bar Yehuda",MTZ,"Masada, Israel: Israel Bar Yehuda"
3238,13516,"Munda, Solomon Islands: Munda Airport",MUA,"Munda, Solomon Islands: Munda Airport"
3239,13517,"Maun, Botswana: Maun Airport",MUB,"Maun, Botswana: Maun Airport"
3240,13518,"Munich, Germany: Muenchen",MUC,"Munich, Germany: Muenchen"
3241,13520,"Kamuela, HI: Waimea-Kohala",MUE,"Kamuela, HI: Waimea-Kohala"
3242,13521,"Mulege, Mexico: Mulege Airport",MUG,"Mulege, Mexico: Mulege Airport"
3243,13522,"Mersa Matruh, Egypt: Mersa Matruh Airport",MUH,"Mersa Matruh, Egypt: Mersa Matruh Airport"
3244,13523,"Moultrie, GA: Spence",MUL,"Moultrie, GA: Spence"
3245,13524,"Maturin, Venezuela: Jose Tadeo Monagas International",MUN,"Maturin, Venezuela: Jose Tadeo Monagas International"
3246,13525,"Mountain Home, ID: Mountain Home AFB",MUO,"Mountain Home, ID: Mountain Home AFB"
3247,13526,"Marudi, Malaysia: Marudi Airport",MUR,"Marudi, Malaysia: Marudi Airport"
3248,13527,"Muscatine, IA: Muscatine Municipal",MUT,"Muscatine, IA: Muscatine Municipal"
3249,13528,"Multan, Pakistan: Multan International",MUX,"Multan, Pakistan: Multan International"
3250,13530,"Musoma, Tanzania: Musoma Airport",MUZ,"Musoma, Tanzania: Musoma Airport"
3251,13531,"Mvengue, Gabon: Mvengue Airport",MVB,"Mvengue, Gabon: Mvengue Airport"
3252,13532,"Montevideo, Uruguay: Carrasco International",MVD,"Montevideo, Uruguay: Carrasco International"
3253,13533,"Mossoro, Brazil: Dixsept Rosado",MVF,"Mossoro, Brazil: Dixsept Rosado"
3254,13534,"Mandeville, Jamaica: Marlboro",MVJ,"Mandeville, Jamaica: Marlboro"
3255,13535,"Morrisville, VT: Morrisville Stowe State",MVL,"Morrisville, VT: Morrisville Stowe State"
3256,13536,"Kayenta, AZ: Kayenta Airport",MVM,"Kayenta, AZ: Kayenta Airport"
3257,13537,"Mount Vernon, IL: Mount Vernon Airport",MVN,"Mount Vernon, IL: Mount Vernon Airport"
